GEO_ID|B11001_E001|B11001_M001|B11001_E002|B11001_M002|B11001_E003|B11001_M003|B11001_E004|B11001_M004|B11001_E005|B11001_M005|B11001_E006|B11001_M006|B11001_E007|B11001_M007|B11001_E008|B11001_M008|B11001_E009|B11001_M009
0100000US|129227496|209365|82990528|184702|60637388|248654|22353140|75897|6572819|38102|15780321|47162|46236968|51065|37140836|69832|9096132|35680
0100089US|368826|4053|247128|3252|148567|2215|98561|2051|28914|1016|69647|1502|121698|1930|102213|1711|19485|599
0100090US|564|144|412|121|200|77|212|80|60|29|152|68|152|69|147|69|5|6
0100091US|1008559|1991|664995|2945|487715|2861|177280|2029|55925|1297|121355|1748|343564|2812|289405|2746|54159|1237
0100092US|24964|484|15814|454|13012|397|2802|228|792|103|2010|198|9150|356|7264|335|1886|154
0100093US|97518|942|64388|1065|46691|963|17697|764|6744|405|10953|605|33130|877|26343|858|6787|449
0100094US|437646|2953|286169|2743|190570|2368|95599|1717|23611|1082|71988|1656|151477|1945|130409|1912|21068|994
0100095US|10720|579|9077|565|5767|412|3310|287|997|155|2313|222|1643|162|1323|155|320|58
01000A0US|122036969|184818|78346571|171775|57109909|235848|21236662|75446|6221094|37317|15015568|47742|43690398|43296|34953564|59579|8736834|35605
01000C0US|110905060|161483|71221899|157021|51829003|215515|19392896|70290|5651799|35085|13741097|44893|39683161|41170|31637358|52846|8045803|33558
01000C1US|44565063|58984|25440429|65961|16987514|79944|8452915|28719|2329570|17928|6123345|20322|19124634|32989|14956991|31189|4167643|19597
01000C2US|66339997|109297|45781470|96039|34841489|139131|10939981|51623|3322229|24261|7617752|32775|20558527|38541|16680367|46140|3878160|24193
01000E0US|11131909|25123|7124672|18902|5280906|23851|1843766|11124|569295|6446|1274471|8745|4007237|13549|3316206|15450|691031|6597
01000E1US|3755468|14263|2127435|10289|1409697|12394|717738|6520|196974|3383|520764|5654|1628033|8781|1328947|9512|299086|4617
01000E2US|7376441|14148|4997237|11747|3871209|14233|1126028|7741|372321|5267|753707|6264|2379204|10248|1987259|10955|391945|4475
01000G0US|7190527|25658|4643957|15781|3527479|15582|1116478|7428|351725|4165|764753|5552|2546570|15445|2187272|14889|359298|4074
01000H0US|18322436|49589|11768629|31560|8808385|36864|2960244|12179|921020|8397|2039224|9296|6553807|24564|5503478|26787|1050329|8368
010C201US|103453986|164421|64760698|155348|46030669|209671|18730029|66090|5338471|32764|13391558|43053|38693288|43164|30839246|54721|7854042|31687
010C243US|25773510|53104|18229830|36761|14606719|44175|3623111|16039|1234348|11313|2388763|10024|7543680|24929|6301590|27347|1242090|9151
0200000US1|22592216|32208|14218030|29865|10301514|41278|3916516|21304|1106756|10596|2809760|16174|8374186|19555|6728054|19630|1646132|12470
0200000US2|27971901|52613|17348055|37887|12990046|54335|4358009|25254|1329229|13025|3028780|16404|10623846|25101|8664728|29231|1959118|11190
0200000US3|49758750|88133|32413246|86235|23353101|105034|9060145|32738|2485024|19302|6575121|24846|17345504|31631|14223652|34313|3121852|19181
0200000US4|28904629|41928|19011197|46940|13992727|59776|5018470|22329|1651810|12318|3366660|14831|9893432|20399|7524402|19415|2369030|13501
02000A0US1|22003091|30068|13853714|28820|10014186|39968|3839528|21309|1079821|10662|2759707|16148|8149377|19101|6545696|19194|1603681|12246
02000A0US2|25450515|42073|15733844|34030|11708259|49396|4025585|24120|1208879|12397|2816706|15984|9716671|20560|7890031|24097|1826640|11145
02000A0US3|46445998|78237|30235973|80715|21777238|99832|8458735|32772|2315639|18626|6143096|25294|16210025|31539|13227866|32637|2982159|19214
02000A0US4|28137365|40152|18523040|45474|13610226|58801|4912814|22376|1616755|12347|3296059|14910|9614325|19822|7289971|18847|2324354|13510
02000C0US1|20547585|27697|12942851|27435|9321357|37652|3621494|20340|1006285|10561|2615209|15467|7604734|18649|6102985|18602|1501749|11834
02000C0US2|21975942|32374|13544129|29818|10026397|42959|3517732|21216|1034459|11109|2483273|14479|8431813|19088|6828195|21113|1603618|10658
02000C0US3|42059133|69753|27370430|75286|19745388|92016|7625042|30038|2090072|17026|5534970|23520|14688703|30345|11938378|31111|2750325|18231
02000C0US4|26322400|37292|17364489|42312|12735861|55666|4628628|22353|1520983|12552|3107645|14851|8957911|18363|6767800|18234|2190111|13059
02000C1US1|6799076|11014|3753411|14904|2245298|13803|1508113|11198|375694|5998|1132419|9462|3045665|14094|2392791|12421|652874|7987
02000C1US2|8296172|12906|4401877|14385|2889878|16651|1511999|10196|404495|6449|1107504|7328|3894295|12163|3093504|11146|800791|6385
02000C1US3|16268758|25926|9323106|31693|6192002|33707|3131104|16112|805307|9463|2325797|12933|6945652|22348|5564879|21322|1380773|12539
02000C1US4|13201057|20267|7962035|23207|5660336|29233|2301699|13843|744074|8329|1557625|10213|5239022|14922|3905817|12903|1333205|10212
02000C2US1|13748509|21974|9189440|18367|7076059|27835|2113381|15751|630591|7732|1482790|11903|4559069|15198|3710194|17433|848875|8078
02000C2US2|13679770|24334|9142252|19600|7136519|29683|2005733|16811|629964|8167|1375769|11301|4537518|15859|3734691|18321|802827|8243
02000C2US3|25790375|49533|18047324|49005|13553386|62124|4493938|21670|1284765|13063|3209173|16895|7743051|23053|6373499|23366|1369552|12891
02000C2US4|13121343|22408|9402454|22242|7075525|29899|2326929|14253|776909|8621|1550020|8975|3718889|14206|2861983|12912|856906|8494
02000E0US1|1455506|3853|910863|3704|692829|3782|218034|3127|73536|1802|144498|2794|544643|3273|442711|3461|101932|2347
02000E0US2|3474573|10675|2189715|7598|1681862|9171|507853|5992|174420|3620|333433|4110|1284858|7611|1061836|8181|223022|2956
02000E0US3|4386865|10863|2865543|10510|2031850|12117|833693|7564|225567|4277|608126|5884|1521322|8591|1289488|8452|231834|4355
02000E0US4|1814965|4974|1158551|6096|874365|6309|284186|4081|95772|2634|188414|3285|656414|5302|522171|5084|134243|2566
02000E1US1|298034|2337|155001|1947|100998|1981|54003|1575|16493|920|37510|1346|143033|2384|115036|2424|27997|1393
02000E1US2|1369437|7208|752332|5396|520130|6050|232202|3886|72250|2202|159952|2915|617105|5497|505462|5938|111643|2133
02000E1US3|1427703|6373|833827|5228|515088|5368|318739|4277|73186|2107|245553|3647|593876|5984|494777|5472|99099|3171
02000E1US4|660294|3912|386275|3459|273481|3314|112794|2612|35045|1663|77749|2490|274019|3961|213672|3390|60347|2193
